         x          y        obs      image
       180        295          1          1
       275        257          1          2
       286        247          1          3
       134        171          1          4
       101        112          1          5
       205        236          1          6
       209        280          1          7
        97        212          1          8
       101        169          1          9
       255        223          1         10
       124        191          1         11
       124        186          1         12
       236        215          1         13
        32        219          1         14
       276        201          1         15
       127        159          1         16
       128        278          1         17
       311        163          1         18
       271        134          1         19
       101         83          1         20
       174        168          1         21
       287        177          1         22
        41        201          1         23
       321        217          1         24
        88        296          1         25
       248        235          1         26
       218        339          1         27
       107        298          1         28
       192        311          1         29
       124        337          1         30
        72        171          1         31
       148        216          1         32
       306        114          1         33
       246        138          1         34
       174        193          1         35
       195        120          1         36
        95        301          1         37
       134        110          1         38
       182        186          1         39
        87         73          1         40
        99        215          1         41
       276        162          1         42
       324        303          1         43
        58        210          1         44
       346        315          1         45
       246        186          1         46
       273        210          1         47
        93        132          1         48
       263        211          1         49
       216        215          1         50
       307        227          1         51
       124        139          1         52
        70        249          1         53
       375        292          1         54
       151        379          1         55
       238        184          1         56
       131        232          1         57
       313        137          1         58
       155        207          1         59
       317         97          1         60
       292        247          1         61
       294        196          1         62
       292        232          1         63
       267        108          1         64
       168        203          1         65
       133        209          1         66
        32        210          1         67
       169        266          1         68
       340        242          1         69
       275        261          1         70
       247        230          1         71
       278        289          1         72
       141        306          1         73
        81         95          1         74
       141        248          1         75
        99        206          1         76
       128        191          1         77
       256        280          1         78
       105         88          1         79
       260        171          1         80
       252        309          1         81
         9        368          1         82
       329        248          1         83
       139        243          1         84
        90        164          1         85
        66        219          1         86
        66        143          1         87
       124        319          1         88
       356        243          1         89
       316        172          1         90
       101        314          1         91
       159        314          1         92
       114        297          1         93
       278        309          1         94
       168         79          1         95
       115        225          1         96
       250        287          1         97
        90        126          1         98
        68        301          1         99
       268        203          1        100
       209        207          1        101
       352         76          1        102
       299        211          1        103
       125        197          1        104
       166         39          1        105
       332        367          1        106
       317        201          1        107
       166        274          1        108
       346        126          1        109
       267        286          1        110
       175        158          1        111
       271        288          1        112
       342        357          1        113
       182        273          1        114
       228        190          1        115
       155        236          1        116
       166        265          1        117
       267        155          1        118
       276        232          1        119
        97        276          1        120
        95        162          1        121
       348        260          1        122
        89        257          1        123
       173        100          1        124
       240        235          1        125
       116        206          1        126
       254        224          1        127
       240        172          1        128
       103        164          1        129
        74        216          1        130
        99        247          1        131
       129        253          1        132
       287        297          1        133
       287        247          1        134
       332        196          1        135
       108        140          1        136
       273        234          1        137
       274        302          1        138
       139        242          1        139
       310        122          1        140
       155        257          1        141
       303        180          1        142
       153        141          1        143
       307        295          1        144
       326        278          1        145
        74        206          1        146
       322        237          1        147
       251        213          1        148
       124        234          1        149
       269        251          1        150
       219        240          1        151
       280        203          1        152
        60        174          1        153
       161        261          1        154
       124        262          1        155
       280        191          1        156
        95        384          1        157
       284        309          1        158
       309        351          1        159
       170        260          1        160
       116         26          1        161
        63        190          1        162
       140        245          1        163
       119         57          1        164
       165        359          1        165
       186        188          1        166
       278        248          1        167
       149        263          1        168
       210        368          1        169
       206        220          1        170
       146        100          1        171
        98        230          1        172
       320        213          1        173
       315        324          1        174
       171        276          1        175
       191        105          1        176
       191        280          1        177
       180        209          1        178
       213         41          1        179
       323        322          1        180
       311        204          1        181
        99        266          1        182
       260        252          1        183
       166        258          1        184
       128        214          1        185
        86        183          1        186
       168        249          1        187
       137        134          1        188
       147        266          1        189
        95        165          1        190
       135        161          1        191
       232        135          1        192
       103        150          1        193
       232        155          1        194
        97        184          1        195
       223        301          1        196
       312        267          1        197
       283        287          1        198
       101         54          1        199
       341        266          1        200
       243        251          1        201
       134        245          1        202
       304        166          1        203
       232        215          1        204
        91        248          1        205
        82        219          1        206
       260        100          1        207
       336        236          1        208
       305        166          1        209
        91        236          1        210
       193         90          1        211
       203        213          1        212
       135        192          1        213
       249        154          1        214
       135        209          1        215
       302        269          1        216
       230        213          1        217
        11        272          1        218
        54         72          1        219
       274        218          1        220
       300        261          1        221
       122        246          1        222
       101        229          1        223
       283        297          1        224
       294        267          1        225
       160        213          1        226
       186        141          1        227
       287        179          1        228
       256        271          1        229
        22        184          1        230
        60        178          1        231
       157        245          1        232
       179         48          1        233
       158        103          1        234
       219        238          1        235
       188        365          1        236
       295        243          1        237
       292        114          1        238
        96        122          1        239
       135        348          1        240
       315        262          1        241
       138        268          1        242
        81        315          1        243
       283        346          1        244
        33        311          1        245
       315        261          1        246
        87        164          1        247
       230        223          1        248
       127        182          1        249
       174        263          1        250
       328        336          1        251
        97        150          1        252
       315        211          1        253
       133        249          1        254
        89        156          1        255
       349        334          1        256
       305        214          1        257
       239        305          1        258
        80        188          1        259
        74        191          1        260
       249        135          1        261
       162        290          1        262
        70        209          1        263
       115         74          1        264
       236        176          1        265
       326        224          1        266
       274        254          1        267
       330        211          1        268
       135        174          1        269
       301        218          1        270
        92        292          1        271
       210        288          1        272
       263         98          1        273
       129        201          1        274
       224        203          1        275
       224        230          1        276
       165        145          1        277
       271        240          1        278
       185        143          1        279
       122        185          1        280
       159        201          1        281
       267        224          1        282
       280        254          1        283
       143        229          1        284
       136        298          1        285
        76        102          1        286
        91        170          1        287
       319        261          1        288
       204        231          1        289
       174        274          1        290
       328        126          1        291
       147        184          1        292
       130        371          1        293
       307        205          1        294
       164        314          1        295
        85        215          1        296
       317        225          1        297
       230        177          1        298
        83        240          1        299
       172        311          1        300
       313        184          1        301
       122        210          1        302
       317        164          1        303
       269        175          1        304
       328        225          1        305
        70        205          1        306
       173        229          1        307
       189        133          1        308
       142        251          1        309
       337        184          1        310
       350        195          1        311
       129        155          1        312
        85        209          1        313
       274        290          1        314
        80        253          1        315
       190        269          1        316
        97        189          1        317
       155        234          1        318
       132        184          1        319
       332        233          1        320
       151        250          1        321
        46        134          1        322
       277        321          1        323
       124        242          1        324
        54        184          1        325
       358        107          1        326
       139        225          1        327
       174        172          1        328
