"","biasModel","feat","z","coef"
"1","ST","Omega-xx","(Intercept)",0.36
"2","ST","Omega-xx","x",0
"3","ST","Omega-xx","I(x^2)",3.61
"4","ST","Omega-xx","I(x^3)",0
"5","ST","Omega-xx","I(x^4)",70.86
"6","ST","Omega-xx","y",0
"7","ST","Omega-xx","I(y^2)",-8.9
"8","ST","Omega-xx","I(y^3)",0
"9","ST","Omega-xx","I(y^4)",141.6
"10","ST","Omega-xy","(Intercept)",0
"11","ST","Omega-xy","x",0
"12","ST","Omega-xy","I(x^2)",0
"13","ST","Omega-xy","I(x^3)",0
"14","ST","Omega-xy","I(x^4)",0
"15","ST","Omega-xy","y",0
"16","ST","Omega-xy","I(y^2)",0
"17","ST","Omega-xy","I(y^3)",0
"18","ST","Omega-xy","I(y^4)",0
"19","ST","Omega-yx","(Intercept)",0
"20","ST","Omega-yx","x",0
"21","ST","Omega-yx","I(x^2)",0
"22","ST","Omega-yx","I(x^3)",0
"23","ST","Omega-yx","I(x^4)",0
"24","ST","Omega-yx","y",0
"25","ST","Omega-yx","I(y^2)",0
"26","ST","Omega-yx","I(y^3)",0
"27","ST","Omega-yx","I(y^4)",0
"28","ST","Omega-yy","(Intercept)",-0.02
"29","ST","Omega-yy","x",0
"30","ST","Omega-yy","I(x^2)",4.23
"31","ST","Omega-yy","I(x^3)",0
"32","ST","Omega-yy","I(x^4)",-19.87
"33","ST","Omega-yy","y",0
"34","ST","Omega-yy","I(y^2)",8.48
"35","ST","Omega-yy","I(y^3)",0
"36","ST","Omega-yy","I(y^4)",-1.79
"37","ST","alpha-x2","(Intercept)",0
"38","ST","alpha-x2","x",-2.7
"39","ST","alpha-x2","I(x^2)",0
"40","ST","alpha-x2","I(x^3)",-7.8
"41","ST","alpha-x2","I(x^4)",0
"42","ST","alpha-x2","y",0
"43","ST","alpha-x2","I(y^2)",0
"44","ST","alpha-x2","I(y^3)",0
"45","ST","alpha-x2","I(y^4)",-0.05
"46","ST","alpha-y2","(Intercept)",0
"47","ST","alpha-y2","x",0
"48","ST","alpha-y2","I(x^2)",0
"49","ST","alpha-y2","I(x^3)",0
"50","ST","alpha-y2","I(x^4)",0
"51","ST","alpha-y2","y",-7.87
