"dataset","biasmodel","logLik","llhImprovOverUni","improvOverC"
"Action","uniform",-25018.8190307062,0,0
"Action","re-fit",-1822.37392819363,23196.4451025125,1
"Action","Clarke-Tatler2014",-10884.8378987961,14133.9811319101,0.609316689236107
"Action","tN",10821.4053438862,35840.2243745923,1.54507400665071
"Affective","uniform",-26021.1287779496,0,0
"Affective","re-fit",-1595.19592128309,24425.9328566665,1
"Affective","Clarke-Tatler2014",-11241.9014456706,14779.2273322789,0.605062963981959
"Affective","tN",11792.9438781393,37814.0726560889,1.54811170889502
"Art","uniform",-24668.4971773007,0,0
"Art","re-fit",-2327.96102688054,22340.5361504202,1
"Art","Clarke-Tatler2014",-10847.5051297152,13820.9920475855,0.618650866502395
"Art","tN",10518.0276104856,35186.5247877863,1.5750080728087
"BlackWhite","uniform",-23579.4178969222,0,0
"BlackWhite","re-fit",2535.77502721338,26115.1929241356,1
"BlackWhite","Clarke-Tatler2014",-8609.28717574433,14970.1307211779,0.573234544529921
"BlackWhite","tN",12053.4489626768,35632.866859599,1.36444968885017
"Cartoon","uniform",-25773.7950620036,0,0
"Cartoon","re-fit",-7934.33683637489,17839.4582256287,1
"Cartoon","Clarke-Tatler2014",-13947.7373935106,11826.0576684929,0.662915740989447
"Cartoon","tN",8545.16784799593,34318.9629099995,1.923767105253
"Fractal","uniform",-22834.9839584356,0,0
"Fractal","re-fit",1078.14471970913,23913.1286781447,1
"Fractal","Clarke-Tatler2014",-8775.33224774429,14059.6517106913,0.587946976739227
"Fractal","tN",11325.0943353884,34160.0782938241,1.42850727537984
"Indoor","uniform",-25318.05228049,0,0
"Indoor","re-fit",-5781.72701107545,19536.3252694145,1
"Indoor","Clarke-Tatler2014",-12605.9757816062,12712.0764988838,0.650689232677007
"Indoor","tN",9268.89992012631,34586.9522006163,1.77039190961693
"Inverted","uniform",-25112.8869357873,0,0
"Inverted","re-fit",-3146.7880927653,21966.098843022,1
"Inverted","Clarke-Tatler2014",-11461.9658889112,13650.921046876,0.621454048096144
"Inverted","tN",10032.3047460796,35145.1916818669,1.59997421176276
"Jumbled","uniform",-26006.5320340577,0,0
"Jumbled","re-fit",-7520.07644245646,18486.4555916012,1
"Jumbled","Clarke-Tatler2014",-14081.8455582719,11924.6864757857,0.64504990784731
"Jumbled","tN",6535.54690487436,32542.078938932,1.76032007745804
"LineDrawing","uniform",-24176.2625360574,0,0
"LineDrawing","re-fit",-515.809227457092,23660.4533086003,1
"LineDrawing","Clarke-Tatler2014",-9929.80048091967,14246.4620551377,0.602121264090883
"LineDrawing","tN",11185.5286511075,35361.7911871649,1.49455256524233
"LowResolution","uniform",-19691.8184403811,0,0
"LowResolution","re-fit",7180.27712795357,26872.0955683347,1
"LowResolution","Clarke-Tatler2014",-5465.39405275328,14226.4243876278,0.529412540657672
"LowResolution","tN",11991.0128965732,31682.8313369543,1.17902346902519
"Noisy","uniform",-21141.7616669759,0,0
"Noisy","re-fit",500.483045184009,21642.2447121599,1
"Noisy","Clarke-Tatler2014",-8235.17787090417,12906.5837960717,0.596360681053571
"Noisy","tN",9747.95797229972,30889.7196392756,1.4272881602674
"Object","uniform",-24012.4546323817,0,0
"Object","re-fit",1155.21279605199,25167.6674284337,1
"Object","Clarke-Tatler2014",-9493.13619888707,14519.3184334946,0.57690361948645
"Object","tN",11862.6018338284,35875.0564662101,1.42544224919627
"OutDoorManMade","uniform",-24930.4276371386,0,0
"OutDoorManMade","re-fit",-3285.2651387419,21645.1624983967,1
"OutDoorManMade","Clarke-Tatler2014",-11385.3544535063,13545.0731836323,0.625778308877819
"OutDoorManMade","tN",10014.8911295506,34945.3187666892,1.61446322102122
"OutDoorNatural","uniform",-23024.7416290302,0,0
"OutDoorNatural","re-fit",-1086.63964954023,21938.10197949,1
"OutDoorNatural","Clarke-Tatler2014",-9622.44354129591,13402.2980877343,0.610914203072999
"OutDoorNatural","tN",9957.56470247997,32982.3063315102,1.50342570028827
"Pattern","uniform",-22232.4628077869,0,0
"Pattern","re-fit",4931.58342835325,27164.0462361401,1
"Pattern","Clarke-Tatler2014",-7296.96645637658,14935.4963514103,0.549825906699405
"Pattern","tN",12651.1896573818,34883.6524651687,1.28418469626804
"Random","uniform",-23323.1639485978,0,0
"Random","re-fit",1401.79986486163,24724.9638134595,1
"Random","Clarke-Tatler2014",-9895.04665331152,13428.1172952863,0.543099573232802
"Random","tN",11188.5232512724,34511.6871998702,1.39582356763989
"Satelite","uniform",-23771.6083581655,0,0
"Satelite","re-fit",-6572.56801981109,17199.0403383544,1
"Satelite","Clarke-Tatler2014",-12514.8543233528,11256.7540348126,0.654498961183884
"Satelite","tN",8253.43659047297,32025.0449486384,1.86202510829756
"Sketch","uniform",-22570.6207079491,0,0
"Sketch","re-fit",12464.806333805,35035.4270417541,1
"Sketch","Clarke-Tatler2014",-5246.09000864954,17324.5306992995,0.494486072016555
"Sketch","tN",15887.4290213647,38458.0497293137,1.09769033736854
"Social","uniform",-27461.3408419498,0,0
"Social","re-fit",-5943.04709054861,21518.2937514012,1
"Social","Clarke-Tatler2014",-14068.3110647354,13393.0297772144,0.622402032983787
"Social","tN",10079.8289787219,37541.1698206716,1.74461647630529
