"","biasModel","feat","z","coef_lm","coef_rlm"
"1","N","mu_x","(Intercept)",4.12173675020267e-05,4.26108226643231e-05
"2","N","mu_x","y",-3.9652266855251e-18,-3.53391708584676e-07
"3","N","mu_x","x",0.667242713774194,0.664118492937112
"4","N","mu_x","I(x^2)",-0.000198705842552242,-0.000186933221142625
"5","N","mu_x","I(x^3)",-0.178015769491066,-0.174381279803863
"6","N","mu_x","I(x^4)",0.000270598035465788,0.000100915697469472
"7","N","mu_x","I(y^2)",0.000345957681126847,0.000289930422575292
"8","N","mu_x","I(y^3)",-1.40558486743374e-16,1.19814686102622e-06
"9","N","mu_x","I(y^4)",-0.000978392324043005,-0.000816377551173249
"10","N","mu_x","y:x",-2.86688036497484e-16,8.70185179011868e-07
"11","N","mu_x","y:I(x^2)",5.51843198280406e-16,5.78798659646507e-06
"12","N","mu_x","y:I(x^3)",5.61982334087901e-16,-4.64943394707892e-06
"13","N","mu_x","y:I(x^4)",-1.24397562926465e-15,-1.55489953053672e-05
"14","N","mu_x","x:I(y^2)",-0.0811350023928809,-0.0500207467975091
"15","N","mu_x","x:I(y^3)",6.24500217014204e-16,2.99142000526943e-06
"16","N","mu_x","x:I(y^4)",-0.571077274502057,-0.657457435489403
"17","N","mu_y","(Intercept)",-2.90684013502306e-17,6.66028613664324e-10
"18","N","mu_y","y",0.732877760907347,0.73635658429386
"19","N","mu_y","x",1.31619634195403e-16,-6.34408037659659e-08
"20","N","mu_y","I(x^2)",-3.41362744688232e-16,1.41516143374314e-08
"21","N","mu_y","I(x^3)",-2.89023879376348e-16,-7.18352490353056e-08
"22","N","mu_y","I(x^4)",7.15902654509332e-16,-4.67069176888181e-08
"23","N","mu_y","I(y^2)",8.75616562320329e-16,-4.45560182794158e-09
"24","N","mu_y","I(y^3)",-0.2758554932956,-0.295219793659467
"25","N","mu_y","I(y^4)",-2.7284520422327e-15,-4.44630267108896e-08
"26","N","mu_y","y:x",-0.000215248467892946,-0.000292335485965327
"27","N","mu_y","y:I(x^2)",-0.11627994544686,-0.120931935616909
"28","N","mu_y","y:I(x^3)",0.000198078593093397,0.000546488944850974
"29","N","mu_y","y:I(x^4)",-0.0564855818016439,-0.0493506540117689
"30","N","mu_y","x:I(y^2)",-1.25428361542592e-15,4.67906912443883e-06
"31","N","mu_y","x:I(y^3)",0.00053448399370324,0.00065834164434322
"32","N","mu_y","x:I(y^4)",4.34385177031973e-15,-2.26301334427513e-05
"33","N","sigma_xx","(Intercept)",0.0991284310647214,0.100798227108265
"34","N","sigma_xx","y",1.36146776767121e-17,2.81842839672574e-08
"35","N","sigma_xx","x",8.50288578477454e-05,0.000109803864857642
"36","N","sigma_xx","I(x^2)",0.168513509463559,0.166356386390166
"37","N","sigma_xx","I(x^3)",-0.000108758964605467,-0.000172479458339279
"38","N","sigma_xx","I(x^4)",-0.029910010772207,-0.0293997063309955
"39","N","sigma_xx","I(y^2)",0.0483246310187834,0.0361972360172156
"40","N","sigma_xx","I(y^3)",-4.56230518663963e-17,-1.05005139691979e-07
"41","N","sigma_xx","I(y^4)",0.290898201419292,0.315970454547227
"42","N","sigma_xx","y:x",4.67276434249251e-17,-2.98536158379416e-07
"43","N","sigma_xx","y:I(x^2)",-4.6362109897457e-16,-2.95057661853694e-07
"44","N","sigma_xx","y:I(x^3)",-3.5979305244579e-16,4.38959242312412e-06
"45","N","sigma_xx","y:I(x^4)",1.01883952849761e-15,1.15379445925256e-06
"46","N","sigma_xx","x:I(y^2)",-0.000655767138137682,-0.00121671801865426
"47","N","sigma_xx","x:I(y^3)",2.95453502280916e-16,-1.55044748169595e-06
"48","N","sigma_xx","x:I(y^4)",0.001910205563757,0.00346005534268042
"49","N","sigma_xy","(Intercept)",1.88843127808116e-19,-3.3482920556099e-11
"50","N","sigma_xy","y",4.65489911847929e-06,1.10318089428316e-05
"51","N","sigma_xy","x",6.65965088619938e-18,-1.60989808865554e-10
"52","N","sigma_xy","I(x^2)",-2.46080896864157e-17,-9.64212804777494e-10
"53","N","sigma_xy","I(x^3)",-8.70691047156841e-18,4.08032700978279e-10
"54","N","sigma_xy","I(x^4)",4.20019384998813e-17,2.83724375893104e-09
"55","N","sigma_xy","I(y^2)",2.20926285092801e-17,4.73312174167168e-09
"56","N","sigma_xy","I(y^3)",1.18656356755462e-05,2.39072941077687e-05
"57","N","sigma_xy","I(y^4)",-8.12602567076558e-17,-2.92946046141383e-08
"58","N","sigma_xy","y:x",0.0742259475615624,0.0771751353202542
"59","N","sigma_xy","y:I(x^2)",-4.0432993929604e-05,-0.000173697127856551
"60","N","sigma_xy","y:I(x^3)",-0.0317621392943092,-0.0333672694147984
"61","N","sigma_xy","y:I(x^4)",-9.48362209710625e-07,8.63410279428448e-05
"62","N","sigma_xy","x:I(y^2)",-1.14858764277512e-16,4.29017685460692e-09
"63","N","sigma_xy","x:I(y^3)",-0.0355610544674889,-0.0540278267629672
"64","N","sigma_xy","x:I(y^4)",4.10165859607528e-16,-2.22609483618103e-08
"65","N","sigma_yy","(Intercept)",0.0358977329396084,0.0358346651016434
"66","N","sigma_yy","y",3.78963625264086e-19,2.00977964881613e-07
"67","N","sigma_yy","x",8.73959881620239e-06,1.93560956709906e-05
"68","N","sigma_yy","I(x^2)",0.0352396131626556,0.0344701013375843
"69","N","sigma_yy","I(x^3)",2.43555144387872e-06,-8.07277233881855e-06
"70","N","sigma_yy","I(x^4)",0.00935559818968444,0.0110481273353666
"71","N","sigma_yy","I(y^2)",0.18610679843785,0.189354964363791
"72","N","sigma_yy","I(y^3)",-7.70148216561598e-18,-2.37834974328637e-06
"73","N","sigma_yy","I(y^4)",-0.156045156889379,-0.166949545507886
"74","N","sigma_yy","y:x",-3.37652795405621e-17,-1.60017945518533e-06
"75","N","sigma_yy","y:I(x^2)",5.16213995451393e-17,2.56271874420168e-06
"76","N","sigma_yy","y:I(x^3)",7.78355613752524e-17,2.76275346992929e-06
"77","N","sigma_yy","y:I(x^4)",-1.24834174466263e-16,-6.06204608104918e-06
"78","N","sigma_yy","x:I(y^2)",3.50511120750791e-05,-0.000263321108605252
"79","N","sigma_yy","x:I(y^3)",5.74726575816122e-17,5.20807402375722e-06
"80","N","sigma_yy","x:I(y^4)",-0.000534284627241404,0.000596276772576162
"81","tN","mu_x","(Intercept)",0.110302041715705,0.000114419205676269
"82","tN","mu_x","y",0.327732607083822,-3.16223573929768e-05
"83","tN","mu_x","x",-1.84126503575421,0.593747637984157
"84","tN","mu_x","I(x^2)",-0.974343807460246,-0.000914474879570287
"85","tN","mu_x","I(x^3)",12.5631486913345,0.745203126949785
"86","tN","mu_x","I(x^4)",1.24470540084139,0.00341342825808517
"87","tN","mu_x","I(y^2)",1.83799955379985,-0.000971969778454542
"88","tN","mu_x","I(y^3)",0.0292495045301104,9.40927825656017e-06
"89","tN","mu_x","I(y^4)",-6.39706169573709,0.00216266541816312
"90","tN","mu_x","y:x",2.4817276622173,0.00184168562712767
"91","tN","mu_x","y:I(x^2)",-0.546554857525863,-0.00142201734640673
