"","biasModel","feat","z","coef_lm","coef_rlm"
"1","N","mu_x","(Intercept)",7.14279600069013e-05,9.53966888637177e-05
"2","N","mu_x","y",-1.99961919562471e-16,4.37427541380628e-08
"3","N","mu_x","x",0.731280489182419,0.728436204617639
"4","N","mu_x","I(x^2)",3.44453273611527e-06,-0.000134318195828028
"5","N","mu_x","I(x^3)",-0.199969219538311,-0.194803414401214
"6","N","mu_x","I(x^4)",-0.000235261358290127,-1.72869057538896e-06
"7","N","mu_x","I(y^2)",0.000120201325639103,-0.000496415793637602
"8","N","mu_x","I(y^3)",2.34773001152025e-16,-8.26282311049812e-07
"9","N","mu_x","I(y^4)",-0.00108126380786435,0.00102238013520688
"10","N","mu_x","y:x",-5.81382550175293e-17,-6.00044191555526e-06
"11","N","mu_x","y:I(x^2)",1.41854711692172e-16,3.78868786485224e-06
"12","N","mu_x","y:I(x^3)",-5.04285848662281e-17,1.4386157296352e-05
"13","N","mu_x","y:I(x^4)",5.91127497807166e-17,-1.06626612280227e-05
"14","N","mu_x","x:I(y^2)",-0.253633505906186,-0.231477414703592
"15","N","mu_x","x:I(y^3)",2.84486952289278e-16,1.3688122514331e-05
"16","N","mu_x","x:I(y^4)",-0.425459966173096,-0.487542118127892
"17","N","mu_y","(Intercept)",4.4509712769784e-17,-1.1253584341422e-11
"18","N","mu_y","y",0.759718104874229,0.762268827498245
"19","N","mu_y","x",9.30290521420267e-17,1.66161169762315e-09
"20","N","mu_y","I(x^2)",-9.87803220102173e-16,2.2188490427956e-09
"21","N","mu_y","I(x^3)",-8.26756842470924e-16,-2.93245212700775e-09
"22","N","mu_y","I(x^4)",2.17624206294508e-15,-5.02734070363472e-09
"23","N","mu_y","I(y^2)",-4.67452382829955e-16,-3.06614429242037e-09
"24","N","mu_y","I(y^3)",-0.304681912395729,-0.321545460197938
"25","N","mu_y","I(y^4)",1.12881377839173e-15,6.1668417745915e-09
"26","N","mu_y","y:x",-0.000201777748845849,-0.000301136523651211
"27","N","mu_y","y:I(x^2)",-0.148629551348473,-0.137578570255511
"28","N","mu_y","y:I(x^3)",3.21284944829429e-05,0.000492839490905248
"29","N","mu_y","y:I(x^4)",-0.000764738589504471,-0.0292997950654487
"30","N","mu_y","x:I(y^2)",3.74396863836589e-15,-3.55389790220782e-08
"31","N","mu_y","x:I(y^3)",0.000579526769787456,0.000674591954912416
"32","N","mu_y","x:I(y^4)",-1.1778476121694e-14,1.35593109169361e-07
"33","N","sigma_xx","(Intercept)",0.0961069641964458,0.0969292972625984
"34","N","sigma_xx","y",-1.0957542534954e-17,3.61582044310695e-12
"35","N","sigma_xx","x",5.80715499014615e-05,0.000113259084066567
"36","N","sigma_xx","I(x^2)",0.13963493197031,0.145509463549928
"37","N","sigma_xx","I(x^3)",-8.41125329355495e-05,-0.00034308598151148
"38","N","sigma_xx","I(x^4)",-0.00745127594398664,-0.0246494535420626
"39","N","sigma_xx","I(y^2)",0.108338845543521,0.10023033201399
"40","N","sigma_xx","I(y^3)",8.54582142111498e-17,-2.94020999078438e-11
"41","N","sigma_xx","I(y^4)",0.207784912379045,0.221686914817838
"42","N","sigma_xx","y:x",-3.52419911844693e-17,-2.4614156453583e-11
"43","N","sigma_xx","y:I(x^2)",-9.05112971076905e-17,7.20404582511607e-11
