"","biasModel","feat","z","coef_lm","coef_rlm"
"1","N","mu_x","(Intercept)",0.000127582007274528,0.000203334430875304
"2","N","mu_x","y",-4.94999473532935e-17,4.76073780297773e-11
"3","N","mu_x","x",0.751599849928742,0.751339572841205
"4","N","mu_x","I(x^2)",0.000160952665846138,-0.000114040254010186
"5","N","mu_x","I(x^3)",-0.242017273652473,-0.229077054383345
"6","N","mu_x","I(x^4)",-0.000946577833880816,-0.00229714704635239
"7","N","mu_x","I(y^2)",-0.0011970147409163,-0.00501039285884908
"8","N","mu_x","I(y^3)",-4.84446517630965e-16,3.44659343265842e-10
"9","N","mu_x","I(y^4)",0.00231324893375647,0.0327508972709145
"10","N","mu_x","y:x",8.6261495558462e-16,-1.60469598872389e-09
"11","N","mu_x","y:I(x^2)",-3.10191571051789e-15,-4.87734096094729e-09
"12","N","mu_x","y:I(x^3)",-6.42158005947409e-15,1.23684425896306e-08
"13","N","mu_x","y:I(x^4)",1.75263707588963e-14,3.76167146490763e-08
"14","N","mu_x","x:I(y^2)",-0.977673593303721,-1.15366342878418
"15","N","mu_x","x:I(y^3)",-5.35703061886036e-15,1.79652770835207e-08
"16","N","mu_x","x:I(y^4)",3.02167660243392,5.05165343742315
"17","N","mu_y","(Intercept)",-2.50418023137871e-18,-4.15883732837924e-08
"18","N","mu_y","y",0.801041853869771,0.805135076598291
"19","N","mu_y","x",8.01405859746232e-17,5.24507629338548e-07
"20","N","mu_y","I(x^2)",-5.87624612952156e-16,4.87859004408878e-07
"21","N","mu_y","I(x^3)",-8.71349233736498e-16,-6.48681815655852e-07
"22","N","mu_y","I(x^4)",2.77743067048787e-15,-1.28186630451014e-06
"23","N","mu_y","I(y^2)",1.94277898444002e-16,1.50485517552822e-06
"24","N","mu_y","I(y^3)",-0.477341065563185,-0.539948181496272
"25","N","mu_y","I(y^4)",-6.22403478372982e-16,-8.28912102140476e-06
"26","N","mu_y","y:x",0.00153975220497078,0.000749978997497152
"27","N","mu_y","y:I(x^2)",-0.132535097893574,-0.120479452144459
"28","N","mu_y","y:I(x^3)",-0.00346976671888171,-0.00357472442695776
"29","N","mu_y","y:I(x^4)",-0.591277322355129,-0.603880284402776
"30","N","mu_y","x:I(y^2)",4.82099579256123e-15,-5.74418894773833e-05
"31","N","mu_y","x:I(y^3)",-0.0271626912796125,-0.0113337905978591
"32","N","mu_y","x:I(y^4)",-7.42740901511419e-14,-3.69669590143019e-05
"33","N","sigma_xx","(Intercept)",0.0862626504834687,0.0899038759818796
"34","N","sigma_xx","y",5.76907190328436e-17,-6.95112744779009e-13
"35","N","sigma_xx","x",0.000158631163159455,8.5005858923256e-05
"36","N","sigma_xx","I(x^2)",0.265698060270038,0.250212950764856
"37","N","sigma_xx","I(x^3)",-0.000320930996293055,-0.000378863021539007
"38","N","sigma_xx","I(x^4)",-0.352943439011195,-0.361270258786046
"39","N","sigma_xx","I(y^2)",0.259043472055721,0.164463817441333
"40","N","sigma_xx","I(y^3)",-2.52222780068924e-16,2.30550994496893e-12
"41","N","sigma_xx","I(y^4)",-1.11678483212362,-0.496677256123045
"42","N","sigma_xx","y:x",3.28910192929887e-16,4.65851537727069e-13
