"","biasModel","feat","z","coef_lm","coef_rlm"
"1","N","mu_x","(Intercept)",6.7581236478395e-05,8.68816842390004e-05
"2","N","mu_x","y",-1.44540121361455e-17,1.78604720265485e-07
"3","N","mu_x","x",0.742128545192739,0.740113089714766
"4","N","mu_x","I(x^2)",3.21673107553988e-05,-5.07726682189065e-05
"5","N","mu_x","I(x^3)",-0.208207919651697,-0.204146309742079
"6","N","mu_x","I(x^4)",-0.000267997736781412,-0.000171484460791681
"7","N","mu_x","I(y^2)",0.000128861983789953,-0.000403835486390868
"8","N","mu_x","I(y^3)",5.90444540260874e-17,3.49714784007154e-07
"9","N","mu_x","I(y^4)",-0.00114126910639031,0.000577106114030093
"10","N","mu_x","y:x",-8.36062957156623e-17,3.47715667513848e-07
"11","N","mu_x","y:I(x^2)",-5.84339936308797e-16,-8.25313709477547e-06
"12","N","mu_x","y:I(x^3)",-4.13327068784696e-16,-6.79345630435677e-07
"13","N","mu_x","y:I(x^4)",1.59665535186731e-15,2.17455080950594e-05
"14","N","mu_x","x:I(y^2)",-0.308759382780616,-0.292690985270698
"15","N","mu_x","x:I(y^3)",1.03489567229912e-15,-9.68317546925842e-07
"16","N","mu_x","x:I(y^4)",-0.292347317793724,-0.338748900065963
"17","N","mu_y","(Intercept)",1.04265554838155e-16,9.49273123106224e-12
"18","N","mu_y","y",0.765031017010665,0.767907727978516
"19","N","mu_y","x",1.67193323865084e-16,3.45293804669729e-09
"20","N","mu_y","I(x^2)",-2.11542439227463e-15,-6.13355191690375e-10
"21","N","mu_y","I(x^3)",-1.63841956195125e-15,-6.50850737386544e-09
"22","N","mu_y","I(x^4)",4.58495961374635e-15,1.28696914695259e-09
"23","N","mu_y","I(y^2)",-1.34719582848092e-15,4.60595399437709e-10
"24","N","mu_y","I(y^3)",-0.317407706614048,-0.334653619813172
"25","N","mu_y","I(y^4)",4.61148425334437e-15,-9.406409254991e-10
"26","N","mu_y","y:x",-0.00018685860377263,-0.000244682445361533
"27","N","mu_y","y:I(x^2)",-0.152071716575187,-0.14205836265647
"28","N","mu_y","y:I(x^3)",-6.44190052945162e-05,0.000354294679270011
"29","N","mu_y","y:I(x^4)",-0.00142362075365157,-0.0296864122938739
"30","N","mu_y","x:I(y^2)",7.77029134940355e-15,-6.0446408873192e-08
"31","N","mu_y","x:I(y^3)",0.000676733848136489,0.00058337821046215
"32","N","mu_y","x:I(y^4)",-2.44882736111499e-14,2.1204953498338e-07
"33","N","sigma_xx","(Intercept)",0.09558232605562,0.0962736944690753
"34","N","sigma_xx","y",-8.52539009780618e-17,-1.73724552026432e-14
"35","N","sigma_xx","x",5.3005207416897e-05,0.00010611141288005
"36","N","sigma_xx","I(x^2)",0.133858413689061,0.140502110792367
"37","N","sigma_xx","I(x^3)",-8.19107759875683e-05,-0.000335954113670115
"38","N","sigma_xx","I(x^4)",-0.000324264081219191,-0.0189517051729764
"39","N","sigma_xx","I(y^2)",0.122635758272905,0.115908437582435
"40","N","sigma_xx","I(y^3)",2.07597407080675e-16,1.20664754968178e-13
"41","N","sigma_xx","I(y^4)",0.169000310701248,0.176779686137343
"42","N","sigma_xx","y:x",1.71523878813631e-19,-1.31426917617776e-13
"43","N","sigma_xx","y:I(x^2)",5.12164928904313e-16,-2.12411677886756e-13
"44","N","sigma_xx","y:I(x^3)",8.40818098169364e-17,2.71100275163841e-13
"45","N","sigma_xx","y:I(x^4)",-8.35517112929629e-16,8.20044582690506e-13
"46","N","sigma_xx","x:I(y^2)",-0.00033446892395523,-7.30815944654621e-05
"47","N","sigma_xx","x:I(y^3)",-1.73857232444179e-16,4.72721144847945e-13
"48","N","sigma_xx","x:I(y^4)",0.00153682457876166,0.000678952537587524
"49","N","sigma_xy","(Intercept)",-5.87850956117673e-20,3.97683642371786e-10
"50","N","sigma_xy","y",-6.64498403378424e-06,-1.54735440160197e-05
"51","N","sigma_xy","x",-4.61117566730907e-18,-8.51247531875468e-08
"52","N","sigma_xy","I(x^2)",2.36623272556154e-17,2.23873111435133e-08
"53","N","sigma_xy","I(x^3)",1.38094724201695e-17,-3.07951796524042e-07
"54","N","sigma_xy","I(x^4)",-4.56749401223625e-17,-3.10090824709626e-08
