"","biasModel","feat","z","coef_lm","coef_rlm"
"1","N","mu_x","(Intercept)",4.12173675020267e-05,4.25205973865001e-05
"2","N","mu_x","y",-3.9652266855251e-18,-5.50958918142091e-08
"3","N","mu_x","x",0.667242713774194,0.664169218829154
"4","N","mu_x","I(x^2)",-0.000198705842552242,-0.000185608513745957
"5","N","mu_x","I(x^3)",-0.178015769491066,-0.174439048111691
"6","N","mu_x","I(x^4)",0.000270598035465788,9.92456915549705e-05
"7","N","mu_x","I(y^2)",0.000345957681126847,0.000291023709103492
"8","N","mu_x","I(y^3)",-1.40558486743374e-16,1.4449982605752e-07
"9","N","mu_x","I(y^4)",-0.000978392324043005,-0.000819091151908674
"10","N","mu_x","y:x",-2.86688036497484e-16,-1.85389938223107e-06
"11","N","mu_x","y:I(x^2)",5.51843198280406e-16,1.2263569156994e-06
"12","N","mu_x","y:I(x^3)",5.61982334087901e-16,9.27257473889777e-06
"13","N","mu_x","y:I(x^4)",-1.24397562926465e-15,-3.31311835528322e-06
"14","N","mu_x","x:I(y^2)",-0.0811350023928809,-0.0505063651610629
"15","N","mu_x","x:I(y^3)",6.24500217014204e-16,-5.20208888673242e-06
"16","N","mu_x","x:I(y^4)",-0.571077274502057,-0.656162464091719
"17","N","mu_y","(Intercept)",-2.90684013502306e-17,4.08607713386625e-09
"18","N","mu_y","y",0.732877760907347,0.736268744124234
"19","N","mu_y","x",1.31619634195403e-16,2.96162379284262e-07
"20","N","mu_y","I(x^2)",-3.41362744688232e-16,-4.77761224447035e-07
"21","N","mu_y","I(x^3)",-2.89023879376348e-16,-3.95653098768171e-07
"22","N","mu_y","I(x^4)",7.15902654509332e-16,1.26558623794185e-06
"23","N","mu_y","I(y^2)",8.75616562320329e-16,4.40703814366263e-07
"24","N","mu_y","I(y^3)",-0.2758554932956,-0.294717995762723
"25","N","mu_y","I(y^4)",-2.7284520422327e-15,-1.18179575344024e-06
"26","N","mu_y","y:x",-0.000215248467892946,-0.000291216676427897
"27","N","mu_y","y:I(x^2)",-0.11627994544686,-0.120807886928772
"28","N","mu_y","y:I(x^3)",0.000198078593093397,0.00054103400998962
"29","N","mu_y","y:I(x^4)",-0.0564855818016439,-0.0495005500845099
"30","N","mu_y","x:I(y^2)",-1.25428361542592e-15,-9.55214011151129e-06
"31","N","mu_y","x:I(y^3)",0.00053448399370324,0.000653619511540838
"32","N","mu_y","x:I(y^4)",4.34385177031973e-15,4.08478914343943e-05
"33","N","sigma_xx","(Intercept)",0.0991284310647214,0.100776900115224
"34","N","sigma_xx","y",1.36146776767121e-17,8.02244647928819e-08
"35","N","sigma_xx","x",8.50288578477454e-05,0.000108247392365014
"36","N","sigma_xx","I(x^2)",0.168513509463559,0.166294085430655
"37","N","sigma_xx","I(x^3)",-0.000108758964605467,-0.000167100357355941
"38","N","sigma_xx","I(x^4)",-0.029910010772207,-0.0292488776048949
"39","N","sigma_xx","I(y^2)",0.0483246310187834,0.0363674310348035
"40","N","sigma_xx","I(y^3)",-4.56230518663963e-17,-4.12747523172843e-07
